,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
27,Maruti Ciaz ZXi Option,Kochi,2016,40347,Petrol,Manual,First,20.73 kmpl,1373 CC,91.2 bhp,5.0,7.8
28,Honda City 1.3 EXI,Pune,1999,140000,Petrol,Manual,First,13.0 kmpl,1343 CC,90 bhp,5.0,0.9
29,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5.0,5.95
30,BMW 3 Series 320d Sport,Mumbai,2012,37000,Diesel,Automatic,Third,22.69 kmpl,1995 CC,190 bhp,5.0,15.0
31,Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,38000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,11.6
32,Mahindra Thar DI 4X4,Kochi,2019,13024,Diesel,Manual,First,18.06 kmpl,2523 CC,63 bhp,7.0,9.11
33,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2015,29500,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,43.0
34,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,2.79
35,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,5.4
36,Land Rover Range Rover 2.2L Dynamic,Pune,2015,52000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,39.75
37,Mahindra Ssangyong Rexton RX7,Pune,2013,76000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,8.79
38,Chevrolet Beat LT,Chennai,2010,115000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,1.75
39,Honda Brio S MT,Coimbatore,2016,14821,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,5.37
40,Honda City i VTEC V,Kochi,2016,33915,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,8.09
41,Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,9.96
42,Tata Indica V2 DLS TC,Kolkata,2008,133000,Diesel,Manual,First,16.8 kmpl,1405 CC,62 bhp,5.0,0.7
43,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,17.95
44,Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,2014,194000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,10.5
45,Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,5.35
46,Maruti Swift VDI,Delhi,2014,50000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,4.3
47,Audi A6 2.7 TDI,Ahmedabad,2009,78000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,8.0
48,Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,5.79
49,Maruti Alto LXi BSII,Hyderabad,2011,28619,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,2.4
50,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,Diesel,Automatic,First,18.0 kmpl,2987 CC,258 bhp,5.0,78.8
51,Mahindra XUV500 W8 2WD,Delhi,2015,36096,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,8.85
52,Volkswagen Polo Petrol Highline 1.2L,Pune,2012,19030,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,3.8
53,Mahindra Scorpio S4 Plus,Bangalore,2015,35000,Diesel,Manual,Second,15.4 kmpl,2179 CC,120 bhp,7.0,8.5
54,Maruti Swift Dzire Tour LDI,Chennai,2016,75000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,4.25
55,Volkswagen Polo 1.5 TDI Trendline,Delhi,2014,32400,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,3.95
56,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,5.0
57,Tata Nano Lx,Coimbatore,2013,37287,Petrol,Manual,First,26.0 kmpl,624 CC,35 bhp,4.0,1.74
58,Toyota Innova 2.5 GX (Diesel) 7 Seater,Hyderabad,2009,147000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,7.5
59,Mini Cooper Countryman D High,Coimbatore,2014,45535,Diesel,Automatic,First,23.8 kmpl,1998 CC,112 bhp,5.0,19.41
60,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2017,50484,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7.0,31.12
61,Maruti Swift ZXI,Hyderabad,2011,53080,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,4.4
62,Maruti Swift Dzire VXI,Kolkata,2013,40000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,3.55
63,Maruti Ertiga VDI,Hyderabad,2012,82085,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,6.5
64,Skoda Octavia Ambiente 1.9 TDI,Delhi,2008,80000,Diesel,Manual,First,18.7 kmpl,1896 CC,66 bhp,5.0,2.2
65,Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,Diesel,Manual,First,23.9 kmpl,1582 CC,126.2 bhp,5.0,10.7
66,Toyota Innova 2.5 VX (Diesel) 7 Seater,Mumbai,2012,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,9.51
67,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,51346,Diesel,Automatic,First,16.38 kmpl,1995 CC,183 bhp,5.0,21.99
68,Hyundai Grand i10 Asta Option,Pune,2016,25000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,5.0
69,Volkswagen Jetta 2012-2014 2.0L TDI Highline,Chennai,2012,115000,Diesel,Manual,First,19.33 kmpl,1968 CC,138.1 bhp,5.0,6.95
70,Hyundai i20 Magna Optional 1.4 CRDi,Chennai,2012,70000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5.0,4.0
71,Hyundai EON 1.0 Magna Plus Option O,Kochi,2017,30711,Petrol,Manual,First,20.3 kmpl,998 CC,68.05 bhp,5.0,4.45
72,Hyundai Santro Xing XL eRLX Euro III,Hyderabad,2007,50958,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,1.95
73,Mercedes-Benz S-Class 320 L,Coimbatore,2007,84143,Petrol,Manual,First,13.0 kmpl,2987 CC,210 bhp,5.0,17.09
74,Hyundai Santro Xing XP,Jaipur,2005,120000,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5.0,1.15
75,Maruti Swift VXi BSIV,Pune,2015,13769,Petrol,Manual,Second,16.1 kmpl,1197 CC,85 bhp,5.0,4.41
76,Maruti Vitara Brezza LDi,Kochi,2017,35384,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,8.61
77,Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,3.15
78,Toyota Innova 2.5 ZX Diesel 7 Seater,Kochi,2015,59751,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,11.62
79,Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5.0,21.69
80,Hyundai i20 1.2 Magna Executive,Mumbai,2018,17000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,6.5
81,Toyota Innova 2.5 GX (Diesel) 8 Seater,Mumbai,2015,48000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,11.75
82,Maruti Swift Dzire VXI,Mumbai,2015,19000,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5.0,5.25
83,Ford Figo Diesel Titanium,Kolkata,2012,60000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,2.1
84,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,64394,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,5.45
85,Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,2.6
86,Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,2010,120000,Diesel,Manual,First,17.8 kmpl,1248 CC,76 bhp,5.0,1.65
87,Honda City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,5.0
88,Maruti Swift VDI BSIV,Kolkata,2013,41300,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,3.38
89,Nissan Sunny 2011-2014 XV Special Edition,Chennai,2013,55000,Petrol,Manual,Second,16.95 kmpl,1498 CC,97.7 bhp,5.0,4.3
90,Chevrolet Spark 1.0 LT,Kochi,2012,50619,Petrol,Manual,First,18.0 kmpl,995 CC,62 bhp,5.0,2.0
91,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,77445,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,3.75
92,Maruti Ertiga LXI,Ahmedabad,2012,28002,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,5.75
93,Maruti Alto LXi BSIII,Bangalore,2011,64000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,2.39
94,Ford Figo 1.2P Titanium MT,Pune,2016,54000,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,5.0
95,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2010,107000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,11.99
96,Renault Koleos 2.0 Diesel,Delhi,2013,65000,Diesel,Automatic,Second,13.73 kmpl,1995 CC,148 bhp,5.0,7.5
97,Hyundai Elantra CRDi SX AT,Pune,2013,48823,Diesel,Automatic,First,19.5 kmpl,1582 CC,126.24 bhp,5.0,8.5
98,Maruti Swift ZXI,Ahmedabad,2015,40000,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,5.9
99,Maruti Ciaz ZXi,Kolkata,2015,25470,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,5.9
100,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,18.55
101,Skoda Fabia 1.2 MPI Ambition Plus,Mumbai,2012,27014,Petrol,Manual,First,16.25 kmpl,1198 CC,75 bhp,5.0,2.19
102,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5.0,29.4
103,BMW X1 sDrive 20d Exclusive,Mumbai,2012,65148,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,5.0,12.75
104,Maruti Swift VDI BSIV,Delhi,2015,63000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,4.9
105,Maruti Wagon R LXI,Mumbai,2010,12000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,2.45
106,Maruti Zen LXi - BS III,Pune,2006,67196,Petrol,Manual,First,17.3 kmpl,993 CC,60 bhp,5.0,1.25
107,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,26.5
108,Toyota Fortuner 4x2 AT,Delhi,2013,71932,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,16.5
109,Volkswagen Vento 1.5 TDI Highline AT,Hyderabad,2016,45492,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,10.3
110,Hyundai i20 Active 1.4 SX Dual Tone,Kolkata,2015,27000,Diesel,Manual,First,21.19 kmpl,1396 CC,88.73 bhp,5.0,5.99
111,Maruti Zen Estilo LXI BS IV,Mumbai,2009,47000,Petrol,Manual,First,19.0 kmpl,998 CC,67.1 bhp,5.0,1.46
112,Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,94000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,12.0
113,Honda City i VTEC SV,Kochi,2016,36367,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,7.73
114,Toyota Etios G,Pune,2015,190000,Petrol,Manual,Second,16.78 kmpl,1496 CC,88.73 bhp,5.0,3.85
115,Maruti Swift VDI BSIV W ABS,Bangalore,2015,62588,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,5.95
116,Datsun GO T Option,Hyderabad,2016,19000,Petrol,Manual,First,20.63 kmpl,1198 CC,67 bhp,5.0,2.99
117,Chevrolet Aveo 1.4 LS,Jaipur,2006,100000,Petrol,Manual,First,14.49 kmpl,1399 CC,92.7 bhp,5.0,1.4
118,Nissan Micra Diesel XV,Chennai,2011,83000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,2.75
119,Maruti Swift VDI BSIV,Bangalore,2013,58291,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,5.0
120,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Ahmedabad,2016,39500,Diesel,Automatic,First,15.0 kmpl,2143 CC,204 bhp,5.0,29.5
121,Chevrolet Beat Diesel LS,Chennai,2012,58000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,2.1
122,Maruti Swift VXI BSIV,Coimbatore,2016,37806,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,5.2
123,Toyota Fortuner 3.0 Diesel,Pune,2011,146300,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,12.25
124,Maruti Baleno Alpha,Chennai,2016,16000,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,6.95
125,Mahindra Quanto C8,Kolkata,2013,36000,Diesel,Manual,First,17.21 kmpl,1493 CC,100 bhp,7.0,3.9
126,Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,24.22
127,Maruti Ciaz ZDi,Delhi,2015,46166,Diesel,Manual,Second,26.21 kmpl,1248 CC,88.5 bhp,5.0,5.5
128,Honda City ZX CVT,Hyderabad,2007,81000,Petrol,Automatic,First,16.4 kmpl,1497 CC,78 bhp,5.0,3.25
129,Maruti Ritz VXi,Pune,2014,25000,Petrol,Manual,Second,18.5 kmpl,1197 CC,85.80 bhp,5.0,3.5
130,Land Rover Range Rover 3.0 D,Mumbai,2003,75000,Diesel,Automatic,Second,0.0 kmpl,,,,16.11
131,Nissan Terrano XL 110 PS,Mumbai,2014,50000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5.0,6.5
132,Mercedes-Benz New C-Class C 200 CGI Elegance,Delhi,2011,51000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,11.5
133,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,1.53
134,Land Rover Freelander 2 HSE,Mumbai,2011,82000,Diesel,Automatic,Second,12.35 kmpl,2179 CC,187.74 bhp,5.0,13.9
135,Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5.0,4.25
136,Maruti Swift Dzire Tour LDI,Kolkata,2015,168205,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,4.0
137,Toyota Innova Crysta 2.4 G MT,Hyderabad,2016,121362,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,16.0
138,Honda City V MT,Pune,2013,100000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,6.25
139,Maruti Swift VVT VXI,Pune,2016,27755,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,5.45
140,Honda City 1.3 DX,Delhi,2009,55005,Petrol,Manual,First,12.8 kmpl,,,,3.2
141,Renault Pulse RxL,Delhi,2014,67668,Diesel,Manual,First,23.08 kmpl,1461 CC,63.12 bhp,5.0,3.1
142,Ford Endeavour 2.5L 4X2,Hyderabad,2010,154000,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7.0,7.99
143,Jaguar XF Diesel,Coimbatore,2016,55115,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,36.15
144,Hyundai Xcent 1.2 Kappa AT SX Option,Kochi,2016,45560,Petrol,Automatic,First,16.9 kmpl,1197 CC,82 bhp,5.0,6.34
145,Honda Civic 2006-2010 1.8 S MT,Mumbai,2008,87000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,2.35
146,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,3.95
147,Chevrolet Beat LS,Chennai,2010,66000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,2.19
148,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,35.67
149,Maruti Esteem Vxi,Chennai,2004,95000,Petrol,Manual,First,15.9 kmpl,1298 CC,null bhp,5.0,0.8
150,Maruti Ciaz AT ZXi,Mumbai,2015,50940,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5.0,6.95
151,Maruti Ciaz VDi Plus,Jaipur,2016,84085,Diesel,Manual,First,26.21 kmpl,1248 CC,88.5 bhp,5.0,6.9
152,Hyundai i10 Sportz AT,Bangalore,2009,60510,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,5.0,3.1
153,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45 kmpl,1493 CC,100 bhp,7.0,6.5
154,Maruti Ritz VXi,Chennai,2011,67000,Petrol,Manual,Second,18.5 kmpl,1197 CC,85.80 bhp,5.0,2.25
155,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4.0,3.23
156,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,5.0
157,Maruti Swift Dzire VXi,Bangalore,2009,65000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,3.1
158,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2015,80883,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,13.5
159,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7 kmpl,1496 CC,113.98 bhp,5.0,23.5
160,Maruti Swift VXI BSIII,Ahmedabad,2008,65000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5.0,2.71
161,Maruti Esteem Vxi,Delhi,2005,69496,Petrol,Manual,First,15.9 kmpl,1298 CC,null bhp,5.0,1.1
162,Maruti Baleno Alpha Diesel,Mumbai,2018,2000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,8.7
163,Hyundai Verna CRDi SX,Hyderabad,2013,82966,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5.0,7.2
164,Hyundai Creta 1.6 CRDi AT SX Plus,Chennai,2017,13000,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,14.5
165,Maruti Ertiga VDI,Coimbatore,2014,53817,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,7.56
166,Datsun redi-GO T,Kolkata,2016,15000,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5.0,2.25
167,Hyundai Creta 1.6 SX Plus Petrol Automatic,Mumbai,2016,27000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,11.45
168,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,2019,15379,Petrol,Automatic,First,23.84 kmpl,1199 CC,83.83 bhp,5.0,6.97
169,Toyota Etios Liva G,Mumbai,2012,29605,Petrol,Manual,First,18.3 kmpl,1197 CC,null bhp,5.0,2.44
170,Volkswagen Vento Diesel Comfortline,Chennai,2014,70010,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,5.25
171,Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,2010,137000,Diesel,Automatic,First,13.5 kmpl,2987 CC,282 bhp,5.0,18.5
172,Jeep Compass 2.0 Limited Option 4X4,Kolkata,2017,15050,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5.0,17.5
173,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,15.0
174,BMW X1 M Sport sDrive 20d,Kochi,2017,32838,Diesel,Automatic,First,17.05 kmpl,1995 CC,190 bhp,5.0,30.29
175,Maruti Swift Dzire VDI,Ahmedabad,2015,69000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,5.9
176,Hyundai i20 Asta,Kochi,2010,30754,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,3.38
177,Tata Indigo eCS eLS BS IV,Kolkata,2016,78000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,2.3
178,Honda Accord 2.4 A/T,Mumbai,2008,79000,Petrol,Automatic,Second,11.7 kmpl,2354 CC,177.6 bhp,5.0,4.85
179,Chevrolet Sail 1.2 LS,Mumbai,2014,10000,Petrol,Manual,First,18.2 kmpl,1199 CC,82.4 bhp,5.0,5.5
180,Hyundai i10 Magna Optional 1.1L,Kolkata,2010,27089,Petrol,Manual,First,16.0 kmpl,1086 CC,66.7 bhp,5.0,1.95
181,BMW 3 Series 320d,Hyderabad,2013,58000,Diesel,Automatic,First,13.2 kmpl,1995 CC,170 bhp,5.0,19.5
182,Skoda Yeti Ambition 4X2,Kolkata,2012,64284,Diesel,Manual,First,17.72 kmpl,1968 CC,108.49 bhp,5.0,5.5
183,Hyundai Accent GLE,Delhi,2012,56000,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,5.0,2.45
184,Honda City V MT AVN,Pune,2012,89000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5.0,3.5
185,Maruti Swift Dzire Vdi BSIV,Hyderabad,2016,69000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,4.79
186,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,90121,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,2.2
187,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,2.35
188,BMW 3 Series 320d Sport Line,Hyderabad,2015,10000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,30.0
189,Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,13.19
